edu,sort,lat,lon
27213355,ДОО,55.766038,37.704251
2724983,ДОО,55.986281,37.232656
2725944,Школы,55.9795,37.168755
27331025,Школы,55.496074,37.512551
2736973,Школы,55.992931,37.217512
2737982,Школы,55.991888,37.233527
27441104,ДОО,55.81829,37.489849
2749984,Школы,55.993712,37.245925
2759633,Школы,55.721012,37.411456
27641105,ДОО,55.823461,37.509652
2774737,ДОО,55.695977,37.501224
277688,Школы,55.791704,37.811871
2777778,ДОО,55.646264,37.398174
27781043,Школы,55.800879,37.535133
278278,ДОО,55.850858,37.63609
27811012,ДОО,55.982,37.187864
280596,Школы,56.003383,37.792459
281019,ДОО,55.811451,37.713825
2819564,ДОО,55.736519,37.420963
2820616,ДОО,55.715387,37.412586
2824575,Школы,55.787038,37.361715
283449,Школы,55.813291,37.431311
2837636,Школы,55.71734,37.404936
2844602,ДОО,55.713177,37.395889
28531457,ДОО,55.875784,37.581666
286286,ОК,55.667143,37.614082
2862336,ДОО,55.758043,37.799785
2864354,ДОО,55.758629,37.784278
2890399,Школы,55.803962,37.815246
2929,ОК,55.586459,37.608466
29183504,ДОО,55.661614,37.750253
29233682,ДОО,55.688563,37.582671
29253714,ДОО,55.689542,37.590685
29333633,ДОО,55.712488,37.746877
29342910,ДОО,55.679789,37.661019
29382989,ДОО,55.610887,37.706666
29402979,ДОО,55.660891,37.616258
29633015,ДОО,55.624709,37.704667
29693150,ДОО,55.606414,37.584843
29783093,ДОО,55.63173,37.676843
29833197,ДОО,55.598312,37.592374
29933168,Школы,55.600485,37.611256
31021,ДОО,55.508582,37.339519
30012564,Школы,55.74218,37.648905
3006139,ДОО,55.825428,37.810464
30084186,Школы,55.607227,37.520478
30094241,Школы,55.998613,37.230035
30172687,Школы,55.718038,37.59317
30302775,Школы,55.640187,37.76617
30312802,Школы,55.710621,37.612178
30392874,Школы,55.623692,37.747852
30462843,Школы,55.620626,37.756772
30564267,Школы,55.44796,37.523626
30672441,ДОО,55.77541,37.692975
308308,ДОО,55.826462,37.757455
308402,Школы,55.803174,37.776909
30822358,Школы,55.475427,37.300677
31951841,ДОО,55.870623,37.704384
31081926,ДОО,55.840769,37.377765
31191992,ДОО,55.859426,37.4264
31282009,ДОО,55.864571,37.444175
31302190,Школы,55.639448,37.314167
31534181,Школы,55.605867,37.554191
31562206,ДОО,55.490648,37.33859
